domain,checked_url,final_url,http_status,fetch_error,shopify_detected,shopify_confidence,shopify_signals,checked_at
allplants.com,https://allplants.com,https://allplants.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.057084+00:00
allswellhome.com,https://allswellhome.com/,https://allswellhome.com/,,URLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081),0,none,,2026-03-16T14:32:22.085885+00:00
almondcow.co,https://almondcow.co/,https://almondcow.co/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.135521+00:00
aloha.com,https://aloha.com/,https://aloha.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.182474+00:00
aloyoga.com,https://aloyoga.com,https://aloyoga.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.188283+00:00
alphaindustries.com,https://alphaindustries.com,https://alphaindustries.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.198097+00:00
alphaleteathletics.com,https://alphaleteathletics.com/,https://alphaleteathletics.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.202914+00:00
alternativeapparel.com,https://alternativeapparel.com,https://alternativeapparel.com,,"URLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'alternativeapparel.com'. (_ssl.c:1081)",0,none,,2026-03-16T14:32:22.302608+00:00
altlife.com,https://altlife.com/,https://altlife.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.306149+00:00
alto.com,https://alto.com/,https://www.alto.com/,200,,0,none,,2026-03-16T14:32:22.314268+00:00
alvarpet.com,https://alvarpet.com/,https://alvarpet.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.340966+00:00
amandadeer.com,https://www.amandadeer.com,https://www.amandadeer.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.341923+00:00
amaraorganicfoods.com,https://amaraorganicfoods.com/,https://amaraorganicfoods.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.446173+00:00
amass.com,https://amass.com/,https://amass.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.468588+00:00
american-giant.com,https://www.american-giant.com/,https://www.american-giant.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.489032+00:00
ami-ami.vin,https://www.ami-ami.vin/,https://www.ami-ami.vin/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.486840+00:00
amopetric.com,https://www.amopetric.com/,https://www.amopetric.com/,,"URLError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.amopetric.com'. (_ssl.c:1081)",0,none,,2026-03-16T14:32:22.497191+00:00
amoracoffee.com,https://amoracoffee.com/,https://amoracoffee.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.516635+00:00
amourvert.com,https://amourvert.com,https://amourvert.com,200,,0,none,,2026-03-16T14:32:22.532142+00:00
amphuman.com,https://amphuman.com/,https://amphuman.com/,429,HTTPError: 429,0,none,,2026-03-16T14:32:22.614700+00:00
